"customer_key","gender","name","city","state_code","state","zip_code","country","continent","birthday","first_purchase_date","last_purchase_date","lifetime_spend","total_orders","months_since_first_purchase"
325,Female,Madison Hull,MOUNT BUDD,WA,Western Australia,"6522",Australia,Australia,1979-09-27,2018-01-13,2020-01-04,5787.67,3,37
1042,Male,Aidan Pankhurst,TAWONGA SOUTH,VIC,Victoria,"3698",Australia,Australia,1965-11-19,2018-03-06,2018-03-06,1124.91,1,35
1086,Male,Hayden Clegg,TEMPLERS,SA,South Australia,"5371",Australia,Australia,1954-01-20,,,,,
1133,Male,Nicholas Caffyn,JUBILEE POCKET,QLD,Queensland,"4802",Australia,Australia,1969-11-22,,,,,
1568,Male,Luke Virtue,KOTTA,VIC,Victoria,"3565",Australia,Australia,1975-07-25,2019-12-31,2021-02-10,4922.43,4,14
1585,Female,Anna Hallstrom,GREEN LAKE,VIC,Victoria,"3401",Australia,Australia,1990-08-12,2018-02-26,2019-02-28,6700.62,2,36
1626,Female,Mary Leach,NEDS CORNER,VIC,Victoria,"3496",Australia,Australia,1985-10-17,2018-12-13,2020-02-22,2940.35,2,26
1642,Female,Ruby Ambrose,TARLO,NSW,New South Wales,"2580",Australia,Australia,1965-03-03,2019-05-21,2019-05-21,115.98,1,21
1677,Male,Dean Innes,ELLESMERE,QLD,Queensland,"4610",Australia,Australia,1964-11-22,,,,,
1863,Female,Chelsea Watkins,NAMBOUR DC,QLD,Queensland,"4560",Australia,Australia,1984-09-22,2020-03-11,2020-08-08,2198.25,2,11
1945,Male,Angus Beaurepaire,GREENFIELDS,WA,Western Australia,"6210",Australia,Australia,1974-09-20,,,,,
2238,Female,Isabelle Cochran,BRUCKNELL,VIC,Victoria,"3268",Australia,Australia,1969-10-31,2018-05-25,2020-03-06,579.94,2,33
2512,Female,Matilda Hake,BUNKERS HILL,VIC,Victoria,"3352",Australia,Australia,1992-11-13,2019-03-06,2020-02-29,3575.08,2,23
2604,Female,Claudia Davison,KUBIN VILLAGE,QLD,Queensland,"4875",Australia,Australia,1995-04-08,,,,,
3006,Female,Alica Stuckey,HARTLEY,NSW,New South Wales,"2790",Australia,Australia,1943-01-13,,,,,
3575,Male,Noah McFarland,HOPPERS CROSSING,VIC,Victoria,"3029",Australia,Australia,1942-03-04,2016-02-26,2016-02-26,774.00,1,60
4174,Female,Rebecca Yelverton,OCEAN REEF,WA,Western Australia,"6027",Australia,Australia,1990-10-05,2019-01-01,2020-11-25,4465.53,2,25
4734,Male,Justin Felan,PARMELIA,WA,Western Australia,"6167",Australia,Australia,1946-02-13,,,,,
4811,Male,Brayden Bulcock,WIDGIEMOOLTHA,WA,Western Australia,"6443",Australia,Australia,1994-12-21,,,,,
5097,Female,Bella Foley,Mount Pleasant,QLD,Queensland,"4740",Australia,Australia,1942-11-13,2016-01-05,2016-01-05,43.14,1,61
5445,Male,Jake Clibborn,REEFTON,VIC,Victoria,"3799",Australia,Australia,1952-09-10,2017-11-02,2017-11-02,600.00,1,39
6242,Male,Cody Grosse,KOOMBERKINE,WA,Western Australia,"6461",Australia,Australia,1964-02-10,,,,,
6258,Male,Zac Hull,SANDFORD,VIC,Victoria,"3312",Australia,Australia,1976-07-03,2020-12-24,2020-12-24,4394.00,1,2
6308,Male,Taj Sexton,KOOREH,VIC,Victoria,"3478",Australia,Australia,2001-02-15,2019-07-05,2019-07-05,1117.48,1,19
6459,Male,Mitchell Leigh,KEILOR DOWNS,VIC,Victoria,"3038",Australia,Australia,1942-05-24,,,,,
7109,Male,Hamish Bolton,LANKEYS CREEK,NSW,New South Wales,"2644",Australia,Australia,1979-11-15,2018-05-17,2018-05-17,494.95,1,33
7493,Male,Declan Torrens,NOORINDOO,QLD,Queensland,"4417",Australia,Australia,1978-07-20,,,,,
7494,Male,Ben Coventry,HYDE PARK,QLD,Queensland,"4812",Australia,Australia,1967-04-02,,,,,
8220,Male,David Blanch,Vista,SA,South Australia,"5091",Australia,Australia,1945-07-29,,,,,
8789,Female,Layla Mackellar,KALKARINDJI,NT,Northern Territory,"852",Australia,Australia,1999-07-13,2018-09-06,2018-09-06,1499.50,1,29
9389,Female,Eliza Brophy,YEARINAN,NSW,New South Wales,"2357",Australia,Australia,1956-04-08,,,,,
9456,Male,Ryder Abdullah,CLAREDALE,QLD,Queensland,"4807",Australia,Australia,1941-05-21,2020-06-03,2020-07-18,7130.49,2,8
9915,Female,Ebony Buxton,SEPPINGS,WA,Western Australia,"6330",Australia,Australia,1991-11-10,2017-09-06,2017-09-06,13569.00,1,41
10276,Male,Angus Bardolph,BATEAU BAY,NSW,New South Wales,"2261",Australia,Australia,1972-11-01,,,,,
301,Female,Lilly Harding,WANDEARAH EAST,SA,South Australia,"5523",Australia,Australia,1939-07-03,2019-11-11,2019-11-11,592.00,1,15
554,Female,Claire Ferres,WINJALLOK,VIC,Victoria,"3380",Australia,Australia,1947-05-26,2018-01-04,2019-12-05,951.71,2,37
786,Male,Jai Poltpalingada,MIDDLE RIVER,SA,South Australia,"5223",Australia,Australia,1957-09-17,,,,,
1256,Male,Lincoln Jenks,KULLOGUM,QLD,Queensland,"4660",Australia,Australia,1950-03-12,,,,,
1314,Male,Isaac Israel,EDITH RIVER,NT,Northern Territory,"852",Australia,Australia,1965-12-21,2017-12-19,2017-12-19,2539.86,1,38
1817,Female,Laura Le Rennetel,BEAUCHAMP,VIC,Victoria,"3579",Australia,Australia,1986-07-10,,,,,
2248,Male,Rory Spargo,JUNG,VIC,Victoria,"3401",Australia,Australia,1987-12-15,2019-01-13,2019-01-13,869.92,1,25
2435,Female,Lilian Hall,BLAKEBROOK,NSW,New South Wales,"2480",Australia,Australia,1968-04-01,2016-10-11,2018-02-02,2474.97,2,52
2469,Female,Phoebe Kneeshaw,BIDWILL,QLD,Queensland,"4650",Australia,Australia,1948-05-20,2019-11-07,2019-11-07,158.76,1,15
2751,Male,Nate Lowes,CALLIDE,QLD,Queensland,"4715",Australia,Australia,1979-08-20,,,,,
2792,Male,Zachary Perkin,BAMGANIE,VIC,Victoria,"3333",Australia,Australia,1976-08-25,2019-05-06,2019-05-06,70.13,1,21
2836,Male,Nicholas Shand,GORDONBROOK,QLD,Queensland,"4610",Australia,Australia,1959-02-23,,,,,
3002,Male,Joshua Aronson,SMITHTON,TAS,Tasmania,"7330",Australia,Australia,2000-11-08,2016-02-26,2016-02-26,932.27,1,60
3203,Male,Aidan Kane,ARGENTON,NSW,New South Wales,"2284",Australia,Australia,1998-08-18,2018-01-24,2018-12-15,6206.66,2,37
3270,Male,Hunter Templeton,CENTRAL TILBA,NSW,New South Wales,"2546",Australia,Australia,1948-05-02,,,,,
3327,Female,Alannah Le Messurier,KONONGWOOTONG,VIC,Victoria,"3315",Australia,Australia,1948-04-28,2018-08-11,2018-08-11,2851.00,1,30
3410,Male,Will Armitage,BOLLON,QLD,Queensland,"4488",Australia,Australia,1950-05-12,,,,,
3964,Female,Rose Code,DIXIE,VIC,Victoria,"3265",Australia,Australia,1944-02-16,2017-02-08,2017-02-08,1506.00,1,48
4004,Female,Piper Wrixon,WYALLA PLAZA,QLD,Queensland,"4350",Australia,Australia,1995-06-24,,,,,
4633,Female,Victoria Brown,KEYSLAND,QLD,Queensland,"4612",Australia,Australia,1964-01-08,,,,,
4808,Male,Jamie Evenden,HAYWARDS BAY,NSW,New South Wales,"2530",Australia,Australia,1944-06-28,,,,,
5962,Male,Aiden Dugdale,SWAN BAY,NSW,New South Wales,"2324",Australia,Australia,1938-11-17,2016-05-12,2018-06-22,5377.61,2,57
6193,Female,Lara Cassidy,REGENCY PARK,SA,South Australia,"5010",Australia,Australia,1945-12-27,,,,,
6794,Female,Abby Hyam,CALDER,TAS,Tasmania,"7325",Australia,Australia,1971-02-06,,,,,
7122,Female,Lara Virtue,HIGGINSVILLE,WA,Western Australia,"6443",Australia,Australia,1999-08-13,,,,,
7313,Female,Chelsea Keast,KANMANTOO,SA,South Australia,"5252",Australia,Australia,1990-01-26,,,,,
7398,Male,Jonathan Thorpe,COOEE BAY,QLD,Queensland,"4703",Australia,Australia,1945-06-10,,,,,
7566,Male,William Prenzel,KILLARA,VIC,Victoria,"3691",Australia,Australia,1993-07-01,2019-08-31,2019-08-31,3142.00,1,18
7664,Male,Riley Gaffney,CANOWIE,SA,South Australia,"5419",Australia,Australia,1947-03-18,,,,,
7700,Male,Lucas Keenan,STANWELL TOPS,NSW,New South Wales,"2508",Australia,Australia,1975-01-27,2018-08-31,2018-08-31,182.97,1,30
7725,Female,Anna Prerauer,CURRIMUNDI,QLD,Queensland,"4551",Australia,Australia,1968-01-06,,,,,
7783,Female,Charli Gullett,MOUNT WALLACE,VIC,Victoria,"3342",Australia,Australia,1961-08-13,2019-09-13,2019-09-13,1299.95,1,17
8098,Female,Alana Belt,SOUTH GREENOUGH,WA,Western Australia,"6528",Australia,Australia,1967-01-26,2019-08-21,2019-08-21,2094.00,1,18
8181,Female,Amelie Nairn,DARTMOUTH,VIC,Victoria,"3701",Australia,Australia,1985-07-08,2020-02-19,2020-02-19,1991.94,1,12
10393,Male,Nicholas Moncrieff,ROSENTHAL HEIGHTS,QLD,Queensland,"4370",Australia,Australia,1981-11-29,2020-07-20,2020-07-20,2310.00,1,7
10395,Male,Cameron Dillon,STRATHERNE,WA,Western Australia,"6309",Australia,Australia,1996-02-25,,,,,
10717,Male,Harrison Ingram,MAYA,WA,Western Australia,"6614",Australia,Australia,1981-06-16,,,,,
11035,Female,Makayla Meldrum,KINGS FOREST,NSW,New South Wales,"2487",Australia,Australia,1939-12-08,2020-02-15,2020-02-15,268.00,1,12
11587,Male,Andrew Fenbury,York,WA,Western Australia,"6302",Australia,Australia,1977-11-09,,,,,
12207,Male,Aiden Jull,OGMORE,QLD,Queensland,"4706",Australia,Australia,1955-11-30,,,,,
12256,Female,Lilly Lynn,ROTHBURY,NSW,New South Wales,"2320",Australia,Australia,1991-03-07,,,,,
12365,Female,Natalie Lyon,STEEPLE FLAT,NSW,New South Wales,"2631",Australia,Australia,1958-04-06,2020-03-14,2020-03-14,1719.97,1,11
12392,Female,Laura Waterhouse,GREENHILL,SA,South Australia,"5140",Australia,Australia,1957-03-08,2018-12-29,2018-12-29,7988.67,1,26
12649,Female,Rose Raven,NOBLE PARK NORTH,VIC,Victoria,"3174",Australia,Australia,1965-12-11,2020-02-20,2020-02-20,62.91,1,12
12810,Male,Patrick Newbigin,Deer Park,VIC,Victoria,"3023",Australia,Australia,1957-06-24,,,,,
12859,Male,Koby Rayment,NABAWA,WA,Western Australia,"6532",Australia,Australia,1942-04-29,2019-12-28,2019-12-28,545.68,1,14
12868,Male,Nathan Greville,MALLALA,SA,South Australia,"5502",Australia,Australia,1961-03-12,,,,,
14069,Male,Jacob Gairdner,ROB ROY,NSW,New South Wales,"2360",Australia,Australia,1949-05-24,2018-12-19,2018-12-19,837.00,1,26
14180,Female,Ava Lockyer,KALGOORLIE,WA,Western Australia,"6430",Australia,Australia,1998-05-14,2016-01-19,2016-01-19,864.78,1,61
14906,Female,Grace Houghton,BOYER,TAS,Tasmania,"7140",Australia,Australia,1982-11-16,2017-09-07,2017-09-07,770.42,1,41
14962,Female,Mackenzie Newell,Crestwood,NSW,New South Wales,"2153",Australia,Australia,1936-04-05,2017-12-09,2019-11-01,15810.83,2,38
14988,Female,Emily Thirkell,WYNDHAM VALE,VIC,Victoria,"3024",Australia,Australia,1958-07-24,2019-03-01,2019-03-01,6001.97,1,23
15391,Female,Elizabeth Horsley,MARRAWEENEY,VIC,Victoria,"3669",Australia,Australia,1989-01-25,2018-01-05,2018-01-05,497.97,1,37
15718,Female,Natalie Tennant,DAKENBA,QLD,Queensland,"4715",Australia,Australia,1957-02-20,2020-01-13,2020-01-13,2072.51,1,13
16193,Female,Isabelle Beggs,ALTONA,SA,South Australia,"5351",Australia,Australia,1964-05-10,,,,,
17412,Male,Mitchell Kwok,VICTORIA PARK,WA,Western Australia,"6100",Australia,Australia,1969-08-31,2018-05-15,2018-09-28,2083.31,3,33
18263,Male,Callum Semmens,RURAL VIEW,QLD,Queensland,"4740",Australia,Australia,1978-06-01,,,,,
18714,Male,Ashton Aitken,PINWERNYING,WA,Western Australia,"6317",Australia,Australia,1972-08-13,,,,,
19082,Male,Matthew Denman,RANSOME,QLD,Queensland,"4154",Australia,Australia,1939-04-06,2019-08-08,2020-08-22,4469.97,3,18
19207,Male,Luke Casimaty,KURRACA,VIC,Victoria,"3518",Australia,Australia,1991-01-19,2016-10-13,2019-05-28,2282.64,2,52
19534,Female,Leah Martin,TOOBORAC,VIC,Victoria,"3522",Australia,Australia,1964-12-13,2018-08-09,2018-08-09,870.02,1,30
19726,Female,Victoria Daly,WATANOBBI,NSW,New South Wales,"2259",Australia,Australia,1973-01-28,2020-03-06,2020-03-06,857.00,1,11
19753,Female,Alyssa Solander,HOWTH,TAS,Tasmania,"7316",Australia,Australia,1995-10-21,2018-08-15,2018-12-19,684.85,2,30
20069,Male,Jesse Parry-Okeden,GWINDINUP,WA,Western Australia,"6237",Australia,Australia,1980-11-24,2019-01-09,2019-12-19,3086.31,4,25
20237,Male,Riley Montefiore,WILLIAMSTOWN,VIC,Victoria,"3016",Australia,Australia,1986-07-14,2019-12-31,2019-12-31,5071.45,1,14
20623,Female,Eva Rendall,CARLYLE,VIC,Victoria,"3685",Australia,Australia,1994-03-11,2018-06-06,2019-12-31,3760.68,3,32
20946,Female,Taylah Walstab,WINTHROP,WA,Western Australia,"6150",Australia,Australia,1999-11-04,2018-11-09,2018-11-09,5816.79,1,27
8794,Female,Abbey Lempriere,BOULDER CREEK,QLD,Queensland,"4714",Australia,Australia,1962-11-02,,,,,
8945,Female,Summer MacMahon,WARUMBUL,NSW,New South Wales,"2229",Australia,Australia,1939-06-28,2019-12-19,2019-12-19,1638.90,1,14
9167,Male,Luke Bushby,PARACOMBE,SA,South Australia,"5132",Australia,Australia,1975-12-02,2019-10-01,2019-10-01,227.97,1,16
